Layer,Filter
5,21
5,22
5,66
6,98
6,99
6,54
6,22
6,58
6,73
8,113
8,102
8,51
8,34
8,83
8,82
8,24
9,98
9,68
9,84
9,106
9,54
9,36
9,34
9,87
9,48
9,65
9,99
9,49
9,30
10,4
10,223
10,22
10,127
10,64
10,98
10,255
10,17
10,3
10,176
10,14
10,172
10,95
10,47
10,202
10,229
11,154
11,165
11,207
11,192
11,89
11,116
11,182
11,20
11,224
11,43
11,167
11,59
11,9
11,177
11,66
11,35
11,32
11,41
11,175
11,183
11,98
11,113
11,21
11,118
11,215
11,122
11,179
11,230
11,106
11,178
11,121
11,28
13,169
13,142
13,109
13,136
13,193
13,74
13,87
13,45
13,202
13,17
13,220
13,164
13,64
13,70
13,239
13,86
13,236
13,66
13,167
13,141
13,27
13,102
13,48
13,149
13,242
13,104
13,245
13,12
13,129
13,209
13,9
13,215
13,11
13,85
13,148
13,44
14,64
14,86
14,175
14,112
14,154
14,0
14,123
14,242
14,131
14,153
14,138
14,252
14,23
14,124
14,60
14,28
14,164
14,224
15,70
15,115
15,40
15,446
15,85
15,367
15,486
15,409
15,444
15,322
15,337
15,66
15,302
15,413
15,20
15,119
15,192
15,247
15,152
15,142
15,366
15,414
15,279
15,51
15,141
15,324
15,403
15,433
15,43
15,100
15,404
15,345
15,173
15,361
15,307
15,274
15,321
15,487
15,464
15,63
15,447
15,174
15,478
15,118
15,144
15,380
15,438
15,75
15,328
15,65
15,145
15,227
15,214
15,223
15,235
15,176
15,125
15,111
15,442
15,405
15,502
15,242
15,200
15,349
15,389
15,109
15,133
15,11
15,28
15,282
15,295
15,265
15,428
15,167
15,382
15,286
15,451
15,355
15,3
15,445
15,207
15,219
15,273
15,148
15,408
15,183
15,465
15,210
15,369
16,223
16,227
16,45
16,330
16,380
16,210
16,238
16,471
16,280
16,225
16,285
16,324
16,94
16,468
16,64
16,472
16,21
16,262
16,508
16,95
16,436
16,187
16,38
16,148
16,25
16,183
16,8
16,305
16,48
16,11
16,354
16,494
16,385
16,339
16,188
16,499
16,316
16,279
16,407
16,57
16,432
16,231
16,106
16,489
16,69
16,453
16,298
16,49
16,465
16,371
16,123
16,215
16,287
16,88
16,350
16,482
16,36
16,393
16,71
18,20
18,411
18,90
18,135
18,33
18,329
18,206
18,438
18,4
18,396
18,421
18,502
18,302
18,84
18,248
18,140
18,427
18,226
18,316
18,58
18,295
18,469
18,379
18,492
18,237
18,258
18,238
18,211
18,359
18,441
18,255
18,155
18,299
18,436
18,49
18,462
18,110
18,385
18,205
18,182
18,99
18,22
18,36
18,227
18,393
18,386
18,88
18,262
18,201
18,439
18,312
18,18
18,325
18,433
18,339
18,315
18,73
18,56
18,67
18,39
18,103
18,32
18,383
18,304
18,158
18,175
18,65
18,72
18,499
18,444
18,76
18,183
18,428
18,86
18,109
18,453
18,454
18,105
18,343
18,468
18,412
18,112
18,425
18,160
18,3
18,134
18,57
19,296
19,59
19,196
19,497
19,306
19,91
19,398
19,349
19,320
19,236
19,44
19,412
19,453
19,71
19,287
19,508
19,94
19,74
19,436
19,66
19,192
19,38
19,319
19,262
