Layer,Filter,Score
11,179,0.022200
8,113,0.022200
8,102,0.022500
6,99,0.022500
13,245,0.022600
11,177,0.023100
6,54,0.023300
11,9,0.023700
9,49,0.023700
11,59,0.024000
11,224,0.024100
10,229,0.024100
8,83,0.024200
11,192,0.024300
11,165,0.024300
13,104,0.024400
15,167,0.024400
15,183,0.024500
11,35,0.024500
15,219,0.024500
9,54,0.024600
13,149,0.024600
13,48,0.024700
13,102,0.024800
15,265,0.024800
13,27,0.024800
10,202,0.024800
13,141,0.024800
11,121,0.024800
13,167,0.024900
16,436,0.025000
15,369,0.025000
13,236,0.025100
11,182,0.025200
15,210,0.025200
15,148,0.025200
15,133,0.025200
13,239,0.025200
9,36,0.025300
13,70,0.025300
15,109,0.025400
13,64,0.025500
13,209,0.025500
13,164,0.025500
9,68,0.025500
15,464,0.025500
10,64,0.025500
11,21,0.025600
15,118,0.025600
16,95,0.025600
15,438,0.025600
11,215,0.025600
15,75,0.025600
18,32,0.025700
13,44,0.025700
8,34,0.025700
15,328,0.025700
9,106,0.025700
13,129,0.025700
16,94,0.025800
15,223,0.025800
15,227,0.025800
8,82,0.025800
10,22,0.025800
9,98,0.025800
13,11,0.025800
16,64,0.025800
13,215,0.025800
13,9,0.025800
15,145,0.025800
13,85,0.025900
10,17,0.025900
18,103,0.025900
15,349,0.025900
15,200,0.025900
6,58,0.025900
13,148,0.025900
16,280,0.025900
15,502,0.025900
15,442,0.025900
9,99,0.025900
15,125,0.025900
15,176,0.025900
16,71,0.026000
15,111,0.026000
15,405,0.026000
13,193,0.026000
18,73,0.026000
14,242,0.026000
11,66,0.026000
18,67,0.026000
15,11,0.026000
18,39,0.026000
15,389,0.026000
18,56,0.026000
5,22,0.026100
11,175,0.026100
16,453,0.026100
18,339,0.026100
11,116,0.026100
14,252,0.026100
6,98,0.026100
18,315,0.026100
11,167,0.026100
14,23,0.026100
10,3,0.026200
15,380,0.026200
13,169,0.026200
18,325,0.026200
18,433,0.026200
16,407,0.026200
11,113,0.026200
15,214,0.026200
11,118,0.026200
15,65,0.026200
11,230,0.026200
13,136,0.026200
14,224,0.026300
16,11,0.026300
16,88,0.026300
10,95,0.026300
18,439,0.026300
18,312,0.026300
15,447,0.026300
9,48,0.026300
11,41,0.026300
15,174,0.026300
11,32,0.026300
18,18,0.026300
15,478,0.026300
14,131,0.026300
11,122,0.026300
14,153,0.026300
10,14,0.026300
16,432,0.026300
13,87,0.026300
15,144,0.026300
14,124,0.026300
11,178,0.026300
15,382,0.026400
15,286,0.026400
18,383,0.026400
16,482,0.026400
16,339,0.026400
10,127,0.026400
18,262,0.026400
18,386,0.026400
8,24,0.026400
14,164,0.026400
15,408,0.026400
16,316,0.026400
13,142,0.026400
15,28,0.026400
15,451,0.026400
15,3,0.026400
19,508,0.026400
15,273,0.026400
19,453,0.026400
18,201,0.026400
15,295,0.026400
15,486,0.026500
18,205,0.026500
5,66,0.026500
11,154,0.026500
15,40,0.026500
15,70,0.026500
16,36,0.026500
19,38,0.026500
10,176,0.026500
11,98,0.026500
11,43,0.026500
10,47,0.026500
18,182,0.026500
18,99,0.026500
15,115,0.026500
15,428,0.026500
18,393,0.026500
18,227,0.026500
14,154,0.026500
15,465,0.026500
18,36,0.026500
15,242,0.026500
15,274,0.026500
13,17,0.026500
16,371,0.026500
18,22,0.026500
11,106,0.026600
15,361,0.026600
15,173,0.026600
18,158,0.026600
5,21,0.026600
11,28,0.026600
18,304,0.026600
15,345,0.026600
18,436,0.026600
18,299,0.026600
18,88,0.026600
16,106,0.026600
13,109,0.026600
15,322,0.026600
15,85,0.026600
15,414,0.026600
19,44,0.026600
15,409,0.026600
15,367,0.026600
9,84,0.026600
15,446,0.026600
16,57,0.026600
18,385,0.026600
18,255,0.026600
13,74,0.026600
14,175,0.026600
10,172,0.026600
18,462,0.026600
9,87,0.026600
16,8,0.026700
16,49,0.026700
14,112,0.026700
16,215,0.026700
10,255,0.026700
19,66,0.026700
18,112,0.026700
18,412,0.026700
16,48,0.026700
16,471,0.026700
18,57,0.026700
16,187,0.026700
15,51,0.026700
15,444,0.026700
14,64,0.026700
18,343,0.026700
18,105,0.026700
19,94,0.026700
16,279,0.026700
18,134,0.026700
16,489,0.026700
10,98,0.026700
18,3,0.026700
15,43,0.026700
16,188,0.026700
18,109,0.026700
16,385,0.026700
16,494,0.026700
18,425,0.026700
15,433,0.026700
16,354,0.026700
18,175,0.026700
11,89,0.026700
16,499,0.026700
16,69,0.026700
16,123,0.026700
15,403,0.026700
15,324,0.026700
14,123,0.026700
9,30,0.026700
18,160,0.026700
15,413,0.026800
16,25,0.026800
16,223,0.026800
13,86,0.026800
18,183,0.026800
16,148,0.026800
15,119,0.026800
19,236,0.026800
6,22,0.026800
15,20,0.026800
19,91,0.026800
16,380,0.026800
13,66,0.026800
18,444,0.026800
16,285,0.026800
18,499,0.026800
18,72,0.026800
15,337,0.026800
16,183,0.026800
13,242,0.026800
18,65,0.026800
18,428,0.026800
16,262,0.026800
13,220,0.026800
18,76,0.026800
16,508,0.026800
13,12,0.026800
18,454,0.026800
16,227,0.026800
15,307,0.026800
14,138,0.026800
19,436,0.026800
16,45,0.026800
16,225,0.026800
15,279,0.026800
16,324,0.026800
14,28,0.026800
18,453,0.026800
19,71,0.026800
18,468,0.026800
15,192,0.026800
15,247,0.026800
18,86,0.026800
16,21,0.026800
15,152,0.026800
14,0,0.026800
10,4,0.026800
19,412,0.026800
6,73,0.026800
16,472,0.026800
18,441,0.026900
18,329,0.026900
18,135,0.026900
18,396,0.026900
18,411,0.026900
18,20,0.026900
9,65,0.026900
15,404,0.026900
19,320,0.026900
16,231,0.026900
14,60,0.026900
19,497,0.026900
15,100,0.026900
18,90,0.026900
18,58,0.026900
15,355,0.026900
18,258,0.026900
15,282,0.026900
15,235,0.026900
19,349,0.026900
18,237,0.026900
19,319,0.026900
18,421,0.026900
15,487,0.026900
15,63,0.026900
18,502,0.026900
18,438,0.026900
18,206,0.026900
19,287,0.026900
15,207,0.026900
16,305,0.026900
16,287,0.026900
15,445,0.026900
19,192,0.026900
18,379,0.026900
11,183,0.026900
18,469,0.026900
16,38,0.026900
18,238,0.026900
18,211,0.026900
16,468,0.026900
15,302,0.026900
15,66,0.026900
9,34,0.026900
18,492,0.026900
18,4,0.026900
16,238,0.026900
18,33,0.026900
11,207,0.026900
15,321,0.026900
18,49,0.026900
18,155,0.026900
13,45,0.026900
19,196,0.026900
15,142,0.026900
19,59,0.026900
13,202,0.026900
16,393,0.026900
15,366,0.026900
18,359,0.026900
19,398,0.026900
16,350,0.026900
18,140,0.026900
18,248,0.026900
8,51,0.026900
18,316,0.026900
14,86,0.026900
16,210,0.026900
16,330,0.026900
18,295,0.026900
19,74,0.026900
15,141,0.026900
11,20,0.026900
16,199,0.027000
16,429,0.027000
13,97,0.027000
15,339,0.027000
13,98,0.027000
18,497,0.027000
18,207,0.027000
19,469,0.027000
16,168,0.027000
18,352,0.027000
16,403,0.027000
