Layer,Filter,Score
11,179,0.022200
8,113,0.022200
8,102,0.022500
6,99,0.022500
13,245,0.022600
11,177,0.023100
6,54,0.023300
9,49,0.023700
11,9,0.023700
11,59,0.024000
11,224,0.024100
10,229,0.024100
8,83,0.024200
11,165,0.024300
11,192,0.024300
13,104,0.024400
15,167,0.024400
11,35,0.024500
15,219,0.024500
15,183,0.024500
9,54,0.024600
13,149,0.024600
13,48,0.024700
13,141,0.024800
10,202,0.024800
13,27,0.024800
11,121,0.024800
13,102,0.024800
15,265,0.024800
13,167,0.024900
15,369,0.025000
16,436,0.025000
13,236,0.025100
15,133,0.025200
15,148,0.025200
13,239,0.025200
11,182,0.025200
15,210,0.025200
9,36,0.025300
13,70,0.025300
15,109,0.025400
13,164,0.025500
9,68,0.025500
13,209,0.025500
13,64,0.025500
15,464,0.025500
10,64,0.025500
15,118,0.025600
11,21,0.025600
11,215,0.025600
15,75,0.025600
16,95,0.025600
15,438,0.025600
13,129,0.025700
18,32,0.025700
8,34,0.025700
13,44,0.025700
9,106,0.025700
15,328,0.025700
13,11,0.025800
9,98,0.025800
13,215,0.025800
16,94,0.025800
13,9,0.025800
16,64,0.025800
8,82,0.025800
10,22,0.025800
15,227,0.025800
15,145,0.025800
15,223,0.025800
10,17,0.025900
13,85,0.025900
15,200,0.025900
6,58,0.025900
15,176,0.025900
9,99,0.025900
15,125,0.025900
15,442,0.025900
13,148,0.025900
15,502,0.025900
16,280,0.025900
18,103,0.025900
15,349,0.025900
15,111,0.026000
15,405,0.026000
14,242,0.026000
16,71,0.026000
18,73,0.026000
18,56,0.026000
15,389,0.026000
18,67,0.026000
15,11,0.026000
18,39,0.026000
11,66,0.026000
13,193,0.026000
11,167,0.026100
14,252,0.026100
6,98,0.026100
18,315,0.026100
14,23,0.026100
16,453,0.026100
11,175,0.026100
5,22,0.026100
18,339,0.026100
11,116,0.026100
18,433,0.026200
10,3,0.026200
16,407,0.026200
15,65,0.026200
15,380,0.026200
18,325,0.026200
15,214,0.026200
11,230,0.026200
11,118,0.026200
11,113,0.026200
13,136,0.026200
13,169,0.026200
10,14,0.026300
16,88,0.026300
18,18,0.026300
11,178,0.026300
11,122,0.026300
14,153,0.026300
14,131,0.026300
14,224,0.026300
15,174,0.026300
11,41,0.026300
11,32,0.026300
9,48,0.026300
15,447,0.026300
18,312,0.026300
18,439,0.026300
10,95,0.026300
16,11,0.026300
14,124,0.026300
16,432,0.026300
15,478,0.026300
15,144,0.026300
13,87,0.026300
15,295,0.026400
15,382,0.026400
16,339,0.026400
14,164,0.026400
10,127,0.026400
16,316,0.026400
13,142,0.026400
15,28,0.026400
15,451,0.026400
15,3,0.026400
18,201,0.026400
19,453,0.026400
16,482,0.026400
15,408,0.026400
8,24,0.026400
19,508,0.026400
18,383,0.026400
15,273,0.026400
15,286,0.026400
18,386,0.026400
18,262,0.026400
14,154,0.026500
15,465,0.026500
18,227,0.026500
18,36,0.026500
18,393,0.026500
15,428,0.026500
5,66,0.026500
11,154,0.026500
18,182,0.026500
11,98,0.026500
18,205,0.026500
15,486,0.026500
16,36,0.026500
10,47,0.026500
19,38,0.026500
11,43,0.026500
15,115,0.026500
15,70,0.026500
16,371,0.026500
18,99,0.026500
15,274,0.026500
15,242,0.026500
18,22,0.026500
13,17,0.026500
15,40,0.026500
10,176,0.026500
18,304,0.026600
18,88,0.026600
15,446,0.026600
16,57,0.026600
9,84,0.026600
18,385,0.026600
11,106,0.026600
9,87,0.026600
15,85,0.026600
